127.0.0.1 - - [08/Sep/2015:07:25:32 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27650
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 200 122887
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 200 700003
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 200 36180
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 200 310226
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 200 285170
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 200 370103
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:34 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 200 149368
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 200 225587
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 200 271324
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [08/Sep/2015:07:25:35 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27649
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/cbpAnimatedHeader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:01 -0500] "GET /mvc_simple/resources/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/js/freelancer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/cursos.jpg HTTP/1.1" 200 326590
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:07:02 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:49 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27649
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:49 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/resources/img/portfolio/cursos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:50 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:51 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:08:59 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:12:25 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27647
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:12:25 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:12:25 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2015:08:12:25 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
